Ticker,Strategy,Decision,Reason
AAPL,Opzioni,ERROR,"Ordine rifiutato dal Broker: {""code"":42210000,""message"":""options market orders are only allowed during market hours""}"
MSFT,Opzioni,ERROR,"Ordine rifiutato dal Broker: {""code"":42210000,""message"":""options market orders are only allowed during market hours""}"
GOOGL,Opzioni,ERROR,"Ordine rifiutato dal Broker: {""code"":42210000,""message"":""options market orders are only allowed during market hours""}"
AMZN,Opzioni,IGNORE,Contratto già attivo
AMD,MeanRev,IGNORE,RSI 70.0 non in ipervenduto o sotto SMA200
NVDA,MeanRev,IGNORE,RSI 69.6 non in ipervenduto o sotto SMA200
TSLA,MeanRev,IGNORE,RSI 31.8 non in ipervenduto o sotto SMA200
COIN,MeanRev,IGNORE,RSI 53.2 non in ipervenduto o sotto SMA200
AVGO,MeanRev,IGNORE,RSI 70.2 non in ipervenduto o sotto SMA200
AMZN,Trend,HOLD,P&L attuale: -3.10% (In attesa)
META,Trend,IGNORE,Nessun Breakout confermato
NFLX,Trend,IGNORE,Nessun Breakout confermato
SPOT,Trend,IGNORE,Nessun Breakout confermato
UBER,Trend,IGNORE,Nessun Breakout confermato
IWM,SmallCap,HOLD,P&L attuale: -0.49% (In attesa)
PLTR,SmallCap,IGNORE,Nessun Breakout di volatilità
SOFI,SmallCap,IGNORE,Nessun Breakout di volatilità
ROKU,SmallCap,HOLD,P&L attuale: 0.50% (In attesa)
HOOD,SmallCap,IGNORE,Nessun Breakout di volatilità
AFRM,SmallCap,IGNORE,Nessun Breakout di volatilità
